item_id,price
48240,1950
20250,8681
34895,880
33899,844
29466,702
38430,1026
45255,1660
23029,631
24933,13387
9207,4552
24976,13480
8597,4441
47066,1822
32554,800
5530,3853
49599,2137
33138,816
36723,954
27675,18692
6258,4011
53863,2743
35527,905
15982,6397
10651,4836
39800,1096
43842,1446
45943,1723
15046,605
26577,16287
35045,884
36749,955
25401,14108
14789,5951
15865,6346
412,555
12142,5174
41888,1259
5659,3881
20716,625
11308,4984
19998,8538
44966,1636
23665,11712
8257,4378
38226,1017
40130,1115
31505,765
47611,1881
44535,1603
5771,3898
43539,1427
36454,942
22117,10145
48485,1980
50180,2222
1506,2993
22921,10962
17589,7080
21137,9295
7395,579
19041,621
22,353
38301,487
8683,4457
34821,878
14953,6022
3354,3380
40211,1122
3316,3372
18773,7677
30016,717
30614,447
14447,5832
32186,788
47648,530
11099,4931
26908,16914
52868,2581
283,2795
50330,2241
27808,650
42947,506
39178,1063
16097,6435
27194,17496
23474,11473
19130,7899
9851,4677
9764,4662
46210,1751
39002,1055
27971,658
11541,5028
46922,1815
4491,3628
49655,2141
28731,680
18440,7502
33354,827
18803,7695
31260,449
4849,3710
135,2765
39886,1103
23680,11733
732,557
11352,4991
43211,1397
41314,1213
19091,7862
28477,672
42460,1316
37183,972
14150,5740
8416,4404
45774,1708
28332,666
3348,3379
49631,540
31162,755
34877,878
23550,11560
44595,1607
45517,1683
36466,942
47757,1892
2011,3103
1877,3073
12702,599
7635,4265
22766,10787
25153,13725
43619,508
11289,4977
2657,3234
23129,11154
6683,4101
53060,2608
16631,6651
26704,645
32461,794
13040,600
27644,18571
646,2843
35340,898
47517,1867
26582,16295
21101,9275
53910,2753
10913,4890
15717,608
40019,1109
29925,713
30375,729
27814,650
43249,1400
33223,821
43841,1446
21850,9909
43092,1382
17429,6987
50521,2273
12353,5229
15843,6338
31750,772
11393,596
25932,15092
25311,13991
19689,624
33164,817
17387,612
3677,3445
45777,1708
28131,664
22021,628
46478,1777
21130,9292
38228,1017
16130,6448
29627,441
40018,1109
41601,393
20622,8920
33840,844
12541,5268
13138,5436
21559,9660
28216,666
11936,5128
37268,482
52433,2513
25046,641
47452,1857
9061,4516
45082,1645
46168,1746
38809,1046
42764,1346
2578,3213
43554,1429
19905,8454
20668,8953
34405,863
12205,5192
16993,6787
3851,3478
14205,5759
42986,1367
4958,3734
11359,4995
11725,596
48897,2040
31867,776
7852,4304
53613,552
9671,4646
49022,2052
21456,9555
41219,1207
28607,675
5795,3906
20224,8655
51935,2440
38146,1013
39470,1079
48964,537
29762,709
43705,1436
43352,1407
24143,12311
26444,15984
4244,3577
46063,1735
51001,2326
36997,964
532,2826
25634,14507
53788,2729
36786,956
6994,4155
41596,391
19428,8079
6722,577
32320,789
46955,526
3511,3403
25721,14637
29390,698
23586,11602
4517,3634
10404,593
25044,641
16891,6742
17652,7111
39777,1094
48064,1928
53092,2613
36316,936
20236,8668
17169,6856
24470,12738
18591,7585
53431,2671
3300,3368
8159,4361
7345,4212
29379,698
27707,648
19579,8210
46884,1814
36648,948
37366,982
46439,1772
37674,992
37967,1007
49784,2161
41785,1248
16352,608
47991,533
10431,4785
19183,7934
21381,626
27863,653
23534,11540
10092,4712
38006,1008
13039,600
32424,792
37000,965
8063,583
2270,3154
53365,2657
12175,5183
20100,8575
7215,4191
28161,665
10079,592
33875,844
39834,1098
15728,6291
38830,1048
1617,3013
16825,6710
13491,5538
1649,3018
10465,4790
40597,497
37521,987
47010,1819
50329,2241
308,2800
1833,3061
34338,862
51482,2379
17133,6837
35890,918
18557,7565
48641,537
4200,3563
5859,3921
26419,15942
22040,628
28440,670
24944,13400
41200,1204
15851,6342
32216,789
23425,11417
2091,3113
21375,626
766,2858
39561,1080
52325,2496
44857,1627
14679,5922
31010,748
18141,7349
35095,886
1758,3045
34017,848
23106,11130
1607,3011
37705,995
25860,14938
31621,450
3541,3411
15401,6169
50218,2230
28158,665
27569,18377
13081,5416
8064,583
23999,12161
4514,3634
50175,2220
35369,899
14477,5845
31573,767
18290,7431
1438,2974
10242,4748
30916,745
16840,6719
52041,2450
19871,8426
23464,11460
22309,10351
20260,8688
5328,3808
31415,764
5422,3823
30687,737
35847,917
53577,2697
37143,972
37951,1007
43553,1429
38589,1036
14281,5783
39937,492
51151,2344
26193,15562
53768,2726
25983,15188
22512,10550
13205,5456
20917,9131
11495,5018
39376,1074
51736,2402
38017,1009
24885,13317
4633,3668
5143,3763
48111,1935
14050,605
41256,500
50188,2224
47475,1860
14024,5702
20198,8639
26737,16518
52169,2475
42598,1331
32968,461
5022,3746
23175,11189
7112,4170
50896,2317
15644,6272
8144,4355
5635,3879
2638,3229
9742,4659
21454,9552
32223,789
35312,896
29242,696
27529,18279
5570,3861
35242,894
