wal_id,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Year,Month
3855,27,1557485.75,0,66.1,4.203,142.6798167,2012,9
4523,32,1185391.96,0,42.76,3.55,195.3318977,2011,10
808,6,1524390.07,0,63.89,3.308,219.7897137,2011,11
4538,32,1129422.86,1,23.34,3.103,196.9195056,2012,2
5976,42,652312.11,0,65.99,4.282,,2012,4
634,5,,0,72.02,3.743,215.8592673,2011,4
3689,26,889670.29,0,36.9,4.025,137.868,2012,4
5484,39,1243370.74,0,50.25,3.016,210.6031072,2011,1
2241,16,574798.86,0,14.44,3.331,195.8742575,2011,12
1056,8,917317.15,0,51.29,3.065,216.9247918,2011,2
6098,43,615975.5,0,51.26,3.297,209.6632811,2011,11
3089,22,953314.16,0,69.78,3.684,140.381,2011,9
3599,26,971615.62,0,65.4,2.784,132.5825806,2010,7
4993,35,888368.8,0,78.44,3.722,142.1705634,2012,8
4288,30,437537.29,0,68.52,3.594,223.0598077,2012,10
4366,31,1401944.8,0,90.27,3.651,215.0749122,2011,7
3155,23,1264434.7,0,56.82,2.849,131.9408065,2010,4
910,7,558027.77,0,-2.06,3.011,191.7625895,2011,2
3467,25,674283.86,0,48.46,2.764,204.951982,2010,10
4631,33,242901.21,0,54.89,3.398,128.13,2011,2
5175,37,491815.83,0,86.06,2.692,210.3943056,2010,8
5265,37,535311.64,0,77.17,3.749,220.3545033,2012,5
6218,44,308950.04,0,52.76,3.752,129.0490323,2011,6
3366,24,1310973.06,0,74.84,4.004,135.9639355,2011,7
5024,36,485694.72,0,84.37,2.572,210.2108417,2010,6
3463,25,655811.95,1,61.14,2.699,204.7266827,2010,9
1289,10,2113432.58,0,58.22,2.915,126.5262857,2010,2
1412,10,1707481.9,0,91.36,3.875,130.7562667,2012,6
2100,15,1182691.87,0,34.93,3.587,136.5883871,2011,12
2060,15,551553.99,0,40.23,3.796,133.8492258,2011,3
5985,42,642671.48,0,86.87,4.103,130.8896774,2012,6
1180,9,454769.68,0,67.36,2.72,215.3589917,2010,10
6160,44,278287.04,0,55.66,2.936,126.4713333,2010,4
4292,31,1473386.75,0,39.75,2.514,210.9451605,2010,2
3469,25,661644.19,0,46.73,2.917,205.0627881,2010,10
3731,27,1939458.84,0,69.02,3.095,135.962,2010,5
1534,11,1376732.18,0,60.24,3.36,223.6591137,2012,2
5766,41,2225016.73,0,29.81,2.781,191.1430189,2010,12
502,4,2051533.53,0,84.54,3.504,129.0894,2011,7
1812,13,2462779.06,0,24.82,3.341,129.8555333,2011,12
3711,26,986131.94,0,57.69,3.988,138.5673,2012,9
5419,38,441683.74,0,85.53,3.726,130.7012903,2012,7
5304,38,383657.44,0,70.15,3.127,126.2898,2010,5
2677,19,1279623.26,0,32.41,3.737,136.9598387,2012,1
6321,45,721744.33,0,71.36,2.755,182.6104063,2010,8
4442,32,1095889.22,0,44.88,2.75,189.6901012,2010,4
5053,36,384659.85,0,54.11,2.942,210.1842358,2011,1
2544,18,1200815.3,0,43.8,3.957,137.7970968,2012,4
2658,19,1365633.53,0,62.76,3.937,136.3145,2011,9
5023,36,467711.18,0,82.3,2.615,210.2135668,2010,6
4551,32,1187051.07,0,55.4,3.87,197.5481609,2012,5
1507,11,1212938.67,0,89.46,3.682,218.8440545,2011,7
2291,17,749549.55,0,15.64,2.667,126.5522857,2010,2
4313,31,1335433.72,0,85.61,2.623,210.7577954,2010,7
5834,41,1323004.73,0,46.84,3.901,197.780931,2012,4
2278,16,551152.15,0,61.44,3.558,198.0984199,2012,8
2177,16,522049.52,0,56.55,2.8,190.4688287,2010,9
3392,24,1057290.41,0,31.92,3.737,136.9598387,2012,1
899,7,482528.36,0,25.56,2.758,191.0312172,2010,11
2154,16,424083.99,0,34.21,2.75,189.6901012,2010,4
3880,28,1267619.06,0,81.06,3.043,126.114,2010,6
4100,29,633240.53,0,45.35,3.47,136.5030667,2011,12
4396,31,1570813.52,0,45.03,3.51,220.0651993,2012,2
708,5,299800.67,0,76.65,3.717,223.1734167,2012,9
4839,34,1015737.61,0,72.42,3.551,131.0287742,2012,5
4409,31,1441473.82,0,72.42,3.63,221.380331,2012,5
1199,9,513107.2,0,59.01,3.065,217.1095679,2011,2
5946,42,608390.94,1,89.06,3.771,129.3686129,2011,9
735,6,1640681.88,0,84.2,2.653,212.8641412,2010,6
3395,24,1326370.08,0,33.92,3.874,137.2583103,2012,2
2557,18,1158247.31,0,76.08,3.538,138.2296333,2012,7
340,3,432782.1,0,61.58,3.045,216.5843571,2011,2
6166,44,282351.82,0,59.85,2.871,126.1360645,2010,6
6001,42,505978.46,0,82.52,3.966,131.043,2012,9
3113,22,966780.01,0,46.06,3.867,141.55478,2012,3
1201,9,517783.5,0,54.75,3.459,217.6977326,2011,3
3908,28,1090558.57,1,45.64,3.148,127.0876774,2010,12
4203,30,443334.71,0,59.52,3.288,213.4775305,2011,3
5821,41,1134767.28,0,27.49,3.077,196.7330517,2012,1
5896,42,492262.96,0,85.75,2.939,126.1900333,2010,9
894,7,463370.48,0,35.86,2.762,190.8623087,2010,10
6156,44,276279.49,0,41.48,2.819,126.6050645,2010,3
5308,38,376184.88,0,81.39,2.941,126.1360645,2010,6
1745,13,1908278.27,0,75.31,2.854,126.0892903,2010,8
2573,18,1127516.25,0,56.09,3.917,138.7281613,2012,10
2011,15,634605.77,0,57.77,2.992,131.9408065,2010,4
1874,14,2108187.1,0,62.62,2.958,181.8538486,2010,5
4916,35,865305.88,0,39.32,3.245,137.2511849,2011,2
3528,25,916446.02,0,38.69,3.415,211.8667856,2011,12
2852,20,2080529.06,1,76.36,3.911,215.2189573,2012,9
46,1,2387950.2,0,52.33,2.886,211.4051222,2010,12
102,1,1394393.84,0,54.11,3.268,219.9856893,2012,1
6152,44,273079.07,0,29.98,2.667,126.5522857,2010,2
5448,39,1226997.7,0,77.49,2.854,209.118536,2010,5
2146,16,472044.28,1,20.87,2.572,189.4642725,2010,2
184,2,1956739.17,0,50.81,2.771,211.5470304,2010,11
506,4,1989674.07,0,84.36,3.659,129.1677097,2011,7
2477,18,2027507.15,0,28.16,3.15,132.7477419,2010,12
